rating,likes,response,rating_label,cleaned_snippet
4.0,89,,positive,game overall fine suck skip dialogue sit storage take ridiculous kind understandable wait version come usually fun recent banner end hour new banner come limit suck sense go different ascension material come different day well reward
2.0,31,,negative,gacha game bad play year phone pc glaring issue take space pc phone early game content pretty good fall drastically month get repetitive quickly lot fetch quest game treat like story constantly repeat dialogue paimon get lot bad time let think
4.0,14,,positive,graphic great gameplay fun scenery breathtake beautiful star major problem game story waaaayyyyyyyyyyy talk yap yap yap yap yap not skip conversation take minute minute yap non annoying voice paimon not skip well watch anime movie click need skip button
4.0,22,,positive,new player incredible frustrating experience exploration character lore craft stand similar game archon quest memorable exciting flaw writing downside experience banner system change age ago main problem increase number character game make impossible accommodate rerun effectively
5.0,31,,positive,play long ad freedom play lost energy play choose love need play people strong feel need want bad m learn game remind minecraft soo well art design detail lot reading travel great random fighting random thing busy
4.0,0,,positive,game pretty good gameplay smooth story amazing good bug enter game second game crash kick try fix problem long time luck
2.0,34,,negative,game amazing today morning problem game work launch normally logo appear kick application time get notification game bug devs need fix friend problem play game fix problem uninstalle reinstall reset device check storage connection work
4.0,4,,positive,love game problem voice act recent event nahida voice hate love voice hope hoyoverse fix problem studio vas try use ai hate let studio use bad ai voice make mad fix en vas
1.0,258,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game.', 'date': 'October 21, 2024', 'iso_date': '2024-10-21T10:32:10Z'}",negative,game good yes reason lack lot vital feature domain pain good artifict significantly impact gameplay make game play feel like chore fun like start feature skip domain gameplay play time like cook mechanic standard banner need update rework
5.0,8,,positive,amazing game love character storyline graphic stunning explore new region feel like enter different world look forward update especially new character quest suggestion great translator chat box communicate player country co op challenging translator team easy
5.0,71,,positive,genshin deserve star review great game nice quality character design story quest wonderful main story quest world quest annoying sit uninteresting dialogue end day perfectly fine need bit patience fit lot play style find like game m mark short game
2.0,4,,negative,bad game hard play mobile android game provide controller support game thing ios platform release wild absurd use controller game literally platform android party interference
3.0,5,,negative,fine like story character easy burn game bp welkin little difference resource scarcity make grind way make easy domain horrible roll good artefact rate bad star character want end spend upwards character want dumb like spend money game
4.0,15,,positive,honestly download yesterday love like like watch anime play time usually game story line make read lot wanna read read fav webton instead skip lot audio love thing like far character bit slow make run drain stamina quickly oh take lot space like gb lot
1.0,254,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game.', 'date': 'November 07, 2024', 'iso_date': '2024-11-07T09:55:01Z'}",negative,game story graphic good control suck d pad movable button adjust atleast place screen unintentionally action especially d pad low screen touch character automatically move forward fix control button d pad adjustable
5.0,23,,positive,great game grind character leveling repetitive weekly domain difficult improve character premium currency primogem difficult come past qol issue beautiful rpg fun gameplay excellent storyline notch wait new area patch
3.0,3,,negative,great game good quality world building world exploration vast find hard obtain reward extensive grind primogem skip button annoying honestly
5.0,20,,positive,year play daily good live service game nowadays up down genshin amazing piece art especially music game novel adventure lot exploration puzzle constant event different minigame love
4.0,7,,positive,want play game long time finally find compatible device play amazing think maybe suggestion ticket system wish new banner player constellation certain character character appear character turn ticket correspond star star collect ticket exchange character old banner hope help
5.0,6,,positive,good game play mobile pc game good ost music scenery landscape storyline character design thing truly masterpiece issue devs provide game currency pull upcomme banner free pulla worth major update nice major issue bit problematic love game
1.0,18,,negative,pointless play play game coupon go uninstall play pc exclusively game worth keep phone real space countless line event exclusive non repeatable dialogue reach endgame story meander filler character introduce bc gacha system limit story potential fan
4.0,0,,positive,take huge ish year gap fontaine get release lot enjoyable play reason like character power design etc area farming artifact system suck reason like ugh natlan character release include emily pretty eh new main story style save people hate lot maybe natlan ugly
1.0,37,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for this issue, Traveler. Please send us an email or contact Customer Service via in-game feedback for specific help with this issue.', 'date': 'October 21, 2024', 'iso_date': '2024-10-21T09:36:37Z'}",negative,game fun run phone story great complain star control onscreen control absolutely terrible ios controller support android mention number time accidentally click character ultimate try jump change camera angle close add controller support android year game launch ff
4.0,34,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game.', 'date': 'October 22, 2024', 'iso_date': '2024-10-22T03:42:14Z'}",positive,improve experience little game setting take break fight game aesthetic worth time spend game story devs put guess rush head game loose perspective escape need game thank game hoyoverse
1.0,107,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for this issue, Traveler. Please send us an email or contact Customer Service via in-game feedback for specific help with this issue.', 'date': 'November 09, 2024', 'iso_date': '2024-11-09T17:55:59Z'}",negative,great game play year get tired major improvement term qol entire game generally artifact system change story dialogue take time voice go gacha improve limited weapon banner get original form bad play game excited lot restriction deceive audience
5.0,25,,positive,fun adventure game play year easy ascent character need work hard get lucky strong character weapon artifek player spend lot primogen intertwine fate strong gold weapon overall game fun developer add mark sign lose forget farming
5.0,27,,positive,good action adventure game aver play smartphone update good graphic heart touch character design game start journey journey feel like main character game story development character development visual gameplay game awesome love play game future
3.0,14,,negative,game fun get boring progress reward suck game want pull new character reward good take hour pull love character design like say impossible pull character spend money
1.0,0,,negative,fix dumb bug primogem old achievement old commission quest like tale winter achieve tell geo travel diary geo archon anecdotes liyue finish dumb achievement unknown reason time
4.0,2,,positive,scamtifye elixir twin mc kid prefer grow version npc copy paste look slight difference lack detail design look boring game good job detail combat experience good game rely elemental reaction dodge mechanic boring sprint well slow real dodge animation
1.0,116,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game.', 'date': 'October 22, 2024', 'iso_date': '2024-10-22T03:11:42Z'}",negative,game actually good problem phone wait like hour instal update etc sleep instal shade wake instal finally good laggy phone new old stop play genshin impact come download update shade get annoying worth wait waste gb game
2.0,7,,negative,hard good rating thing worth play genshin impact story story like inazuma bad music rest experience gameplay level character talent artifact exploration quality life fix worth watch youtube story listen spotify music
3.0,4,,negative,ve play game year damage text bug grass not ice dvalin signora boss fix m sure phone problem hoyo update tell situation abt bug state cos denial woukd great length able damage mobile screen
5.0,137,,positive,good game play year actually unbelievable lil addicting quest r boring new update genshin definitely get well love new character star def storage lil player maybe fix issue wifi rlly bad game require good wifi issue face great game love hooked
3.0,9,,negative,game fine honestly standard banner stuff player pull banner actually want standard character random useless character understand luck bad lose high pity like hopefully change system like go to player lose
3.0,11,,negative,game interesting storyline boring make frustrating play hard farm take time start char build thing like game character graphic literally play character time build
4.0,0,,positive,happy game reward thing end game challenging fun right build teapot want like lake lake glitch kinda annoying hope hoyoverse option create lake water foundation helpful thank
5.0,21,,positive,beautiful game glad instal galaxy run beautifully grow playing game like legend zelda love art style enormous open world explore music voice act perfect story complex interesting fan hoyoverse hope finally able enjoy timeless work art favorite dev team
5.0,940,,positive,thank genshin give unforgettable gaming experience love graphic character design story theme music ethereal scenery late story escape night kingdom experience horrible lag plus time limit reach wind current aware poor device likely problem grateful expand time limit stick forever
5.0,20,,positive,true perfection storyline gameplay gatcha perfect start play know addicting favorite game thing place love collect character get love storyline stimulation game get fighting yep wait play
3.0,6,,negative,play long time like change device oppo have problem run month crash lag d restart game month black mid cutscene kick game game start cutscene kick
5.0,240,,positive,amazing lore nice gameplay unique character cool design beautiful fantasy world inspire real life region noticable accurately represent culture limitation skintone thing like mention genshin fail story telling tell deviate main plotline traveller search twin aspect overall great game
5.0,607,,positive,star play android start play covid great time feel pressured purchase explore fun puzzle challenging boring people play meta grind lot lot fun story interesting boring skip dialogue thing stop star game lack racial diversity lack reward quest irl event
2.0,3179,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': ""We'd like to thank all Travelers for your continued support and love of Genshin Impact! We will continue to provide you with more high-quality game content. If Travelers encounter problems during their adventures, please don't hesitate to contact us via the in-game feedback channel. Your gaming experience and suggestions are always important to us."", 'date': 'July 25, 2024', 'iso_date': '2024-07-25T03:24:29Z'}",negative,game force sit extremely long boring slow loading dialogue hour option skip despite people ask option year issue limit world quest go event matter ask listen user update increase rating star cause make positive change add reward hope improve
5.0,434,,positive,soundtrack graphic scenery wonderfull like main story lot character design cool wish diversity definelly good thing region character mission characteristic sorry english mistake simulanka permanent event
4.0,136,,positive,tw hk mo server despite have good connection experience minor laggy garble storyline introduction play like fix get point intro choose character lag disappear oh upgrade new phone solve issue believe issue game network provider indosat game capable provide hour fun vibrant bright world character collection cool
5.0,675,,positive,genshin impact incredible game gripping story breathtake graphic notch animation open world huge location beautifully design explore different area exciting place feel special craft combination world building visual pull game blend art story exploration perfectly make fantastic experience start finish
5.0,381,,positive,amazing character design game play idea event frustrating quest description help especially pause quest clue maybe quest description bit helpful great game wait future update
1.0,4532,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for this issue, Traveler. Please send us an email or contact Customer Service via in-game feedback for specific help with this issue.', 'date': 'November 13, 2024', 'iso_date': '2024-11-13T08:04:40Z'}",negative,exploration good character weapon excellent animation excellent audio music excellent enjoy properly fix year constantly fix veiw combat exploration reason seizure eye problem play game touchscreen bad experience lack customizable key layout qol joke
5.0,10,,positive,game good story line great graphic please play week game state lag badly ui unresponsive fps drop game graphic intensive game work fine medium high graphic setting oneplus t uninstallate
5.0,0,,positive,hey guy great benevolent summon system character amazing world fun explore right character story interesting easy save character want thank event like paimon adorable guy
2.0,1,,negative,game good update good problem character rerun year play tartaglia like play style fact join update well get rerun actually feel bad play play year think go to quit atp tired redownloade game
5.0,42,,positive,good graphic mobile game par pc version interesting lore story main reason play game yeah mid quest overall character need save primogem able character want pity system okay artifact system rng kinda bad require lot grind guarantee good
1.0,68,,negative,sit hour dialogue care listen replay game dozen time annoying wish feature skip story cutscene play game good game slowly end get hard hard find resourse lot game literally grind hour
1.0,106,,negative,game great graphic issue frustrating skip button cutscene skip long dull waste time wait tap mission mission hard progress main story mission list cluttered mission unskippable cutscene add frustration hope developer address issue repetitive annoying
2.0,7,,negative,game usually great recent update enjoyable lack english language voiceover especially annoying character speak make experience disjointed make want play issue resolve
5.0,4,,positive,start release love graphic character design current update weapon banner well low cost music region different good music story builded skip story value story kinda disappointing community value story low btw add skip button like people say people different taste pls commission
5.0,1,,positive,overhated game huge world ton quest stunning visual goate plot especially fontain archon quest story good character building good game remind sao game good apart fan weird
3.0,0,,negative,start go relatively ping horrible asia server change hk server recently release ping get point participate co op event have getting kick say asia hk server try test online game medium check problem router grateful get resolve
5.0,8,,positive,game animation fight scene detail nation amazing ton character play team play friend story interesting twist turn emotional roll coaster nation play game day love game
3.0,2,,negative,game amazing love main story free roam game problem play laptop game constantly crash game will let login annoying try restart laptop fix game try reinstall work
4.0,0,,positive,storyline awesome love play stop dialogue long skip especially event quest conversation unnecessary boring game large phone game well pc console
3.0,1,,negative,rate star issue need fix like try login account say request try later contact genshin support think hope fix soon possible badly miss account
5.0,0,,positive,love game unconditionally player friendly map beautiful story line amazing think star game disappointing great love plan good game etc badluck people bad review devs try satisfy guy play game matter give lovely game thankyou hoyoberse muahahahaeauheurys
4.0,2,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game.', 'date': 'March 13, 2023', 'iso_date': '2023-03-13T10:31:44Z'}",positive,anniversary weapon banner pitt radiance pity system free look like deserve long time update rating hope reward future rating improvement reduce weapon pity good anniversary elixir cost need easy obtain
5.0,0,,positive,fun play know new player funn u guy download try explore vast world quest good graphic good story line long play want overall game fun like play game
5.0,0,,positive,game get unreasonable hate people play highly recommend game amazing year play bulkier phone crash lag happen low graphic setting character story worth
3.0,10,,negative,love game take way storage like gb way mobile game device dedicate genshin genshin way hell damn world app like sorry ridiculous gb gb lot mobile game let story great character art get boring quest explore gacha good tho
1.0,29,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game.', 'date': 'October 22, 2024', 'iso_date': '2024-10-22T03:52:24Z'}",negative,controller support android year feedback give fall deaf ear severe lack qol feature consider game age proper endgame content artifact loadout custom domain creator perfect endgame content alas temporary usual game good tone deaf company actually use money improve dollar company people
5.0,1,,positive,amazing game superb story line gameplay great mobile need decent phone run see comment game crash etc plus run game like dream
1.0,269,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game.', 'date': 'November 07, 2024', 'iso_date': '2024-11-07T09:23:59Z'}",negative,alright game thing delete app tell sorry space game download people s point have app store certain device maybe fix game space especially phone
2.0,1,,negative,bug cause game work delete app datum cache datum pop say try update game developer fix happen friend play game normally
4.0,1,,positive,enjoy game like week leave day entire save wipe reset beginning end download work fine far
4.0,0,,positive,great game button malfunction somethime example matter long hard hold attack button mobile not heavy attack problem arlecchino weekly boss button move force play uncomfortably year
2.0,19,,negative,game slow fun reach adventure rank character building reach curtain point game endless mode endgame hopefully skip button dialogue slow
4.0,0,,positive,amazing keep kick game try jade chamber grab paper snow go checkpoint unlock leave game go game checkpoint save try jade chamber
5.0,0,,positive,play genshin year like quest help understand concept game character design amazing player mad design hope star
4.0,0,,positive,incredible game amazing charachter story exploration combat problem ungodly amount storage take like gb insane gatcha absolute scam
4.0,7,,positive,star lack controller support android change play lack controller support stop play bored play controller hope guy consider add soon
5.0,0,,positive,favourite game far play game hour game graphic dam good like character pretty good event good rule understand matter support genshin impact
4.0,17,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for this issue, Traveler. Please send us an email or contact Customer Service via in-game feedback for specific help with this issue.', 'date': 'August 23, 2024', 'iso_date': '2024-08-23T22:50:00Z'}",positive,ping bad edit maybe bad connection ping lag lag game crash cutscene music dialogue choppy point wher decide turn volume completely contact month ago surprisingly fix issue thou contact network provdr game run smoothly stll lag smtime
5.0,0,,positive,genshin impact fun game lot place amazing new hero high quality graphic breathtake story genshin online game play people like friend sibling need defeat villain save sister brother meet new hero upgrade hero collect resource map download genshin impact know fascinating story untold
2.0,3,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'Hello Traveler! Please go to the official Genshin Impact website to refer to information on system requirements for a more stable and smooth gaming experience. Meanwhile, to further locate the cause of the issue, please contact the Customer Service team via the in-game feedback channel or email.', 'date': 'November 02, 2022', 'iso_date': '2022-11-02T12:34:17Z'}",negative,game heavy low end device will able play anymore edit update get lot slow strong device unable enjoy game request developer think size game
4.0,0,,positive,graphic pretty good like story lore great guy star character interaction respective nation like star outside mc showcase power pretty boring compare wuwa
5.0,2,,positive,far good game play lore fantastic character design look cool graphic great storyline amazing consider mainly play game truly good hand hoyoverse fantastic job genshin impact edit finally take space thank u mihoyo
5.0,3,,positive,love genshin favorite game graphic amazing character love detail character outfit quest highly recommend play amazing game hu tao pretty new skin
3.0,1,,negative,event need replayable en va strike leave previous event voiceless unable enjoy say content native language strike end content replayable strike end seek new vas
1.0,42,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for this issue, Traveler. Please send us an email or contact Customer Service via in-game feedback for specific help with this issue.', 'date': 'October 21, 2024', 'iso_date': '2024-10-21T09:35:10Z'}",negative,say bad game dialogue skip take long cutscene game mean involve player actually play game read listen dialogue time quest make fight have actual interaction have dialogue great time people tap cause boring long dialogue dev listen player worth anymore
5.0,18,,positive,play game year azame ost battle theme lore character design unique playstyle open world like explain word like real experience feel game hat developer great work art present lot effort game exciting journey future thank
5.0,1,,positive,see game try finally play gamer fond open world rpg game game truly good open world experience mobile device game look damn beautiful great job impressed definitely recommend play give try mean miss great thank work hard create masterpiece
4.0,0,,positive,love game far like option automatically clear new character stuff like gameplay tho story bit competitive requirement mission theirs alot fun stuff non competitive hope u gacha currency mission
5.0,0,,positive,love game afraid hacker ruin account wanna suggest obtain star weapon player able use weapon use upgrade weapon dispose hacker account ruin account
5.0,0,,positive,play game good game low end device try install low ram device harmful device like art style explore open world collect charecter story quest etc way have fun
2.0,5,,negative,eversince new update ve get frequent crash recently samsung gb ram like sudden movement fight enemy thing freeze crash freeze frame random second character not move include open menu lower graphic experiment suitable
2.0,3,,negative,game story wise good boring old player abyss easy new end game mode ok complete quest daily routine open game boring commission use resin close game go to uninstall soon
2.0,0,,negative,want add controller game separate company apple product provide android controller player play android calculate ratio download platform hardly difficult compatibility android launch android controller
1.0,36,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for this issue, Traveler. Please send us an email or contact Customer Service via in-game feedback for specific help with this issue.', 'date': 'November 09, 2024', 'iso_date': '2024-11-09T17:47:03Z'}",negative,skip button absurd point character talk talk talk interesting take time say way short sentence game get nerve
5.0,0,,positive,find come game play m pretty veteran player love story line combat wish hoyo diverse come skin color character
2.0,0,,negative,awesome mind low game reward odd fandom huge problem include co op teapot currently phone build teapot press save say wait furniture load go allow traveler visit sweet hard worked mini game wait hour actually wifi weather completely fine
4.0,3,,positive,gripe actual lack skin surplus character feel kind lazy honestly release like entire year major event like lantern rite help mod skin end get ban restrict like skin compare total number character usually irrelevant character like
3.0,2,,negative,love game story thing disappointed story birthday nahida character voice speak need read talk disappointing character voice conversation kinda annoying fix immediately appreciate story game
1.0,7,,negative,thank fix game buut time quest play real story add like button need quest try buy thing card work thing bring
5.0,0,,positive,wow great game play game year enjoy like open world free game game play month free buy monthly welkin wish buy soon cost effective deal think mihoyo allow new user able buy month previous month welkin make purchase think korean game voice actor good like open world game game worth try
3.0,0,,negative,game good lack control control overy character deficult execute proper combo miss click etc hope add controller support android io well experience handle character
2.0,2,,negative,update game lose account m able log week update game try send email genshin respond play year dollar account go recommend buy game waste time
5.0,0,,positive,worth update play potato phone long mondstadt fontaine work total fine exspect natlan crash soo enter carshs play religion smooth natlan demand stack expensive medium play
4.0,1,,positive,believe well reward possible consider reduce pity rate free play player fan eula feel like long wait play begin overall good game
5.0,0,,positive,game pretty good place character quest interesting will quit game bug weird play genshin impact day normal quest start know npc character voice line miss fix bug pls love genshin impact
3.0,1,,negative,game nice good graphic fact need gb datum play insane amazed datum mobile game play android game like asphalt gangstar vegas game ask extreme datum download requirement
2.0,1,,negative,play year star time sooooo disappointing hour gameplay event achievement go progress star rating want
3.0,1,,negative,play problem happen problem game take space kick app reason tho admit graphic plot story good pretty good game consider laggy
5.0,5,,positive,update gi offer incredible open world recent story strong daily system improve reward engagement quest make easy use resin reward game big flaw continue painfully slow character building process story pacing prevent fast reader bored event content quickly dialogue skip qol think gi continue great title
5.0,1,,positive,good game play phone worth bit storage take phone good story graphic quest character think download game thing regret download game good character standard character gaming experience notch
3.0,3,,negative,ok get bit well release shall quality improve quality great especially competitor market content feel stale need endgame activity weekly reward allow chance favourite character like certain weekly exploration abyss activity sort like hoyo game own
5.0,0,,positive,understand people hate game play game patch time suppose people follow like sheep game nice chance play long improve update listen fandom time game like exploration coop main story cook visual novel
4.0,5,,positive,play game beginning good play story character good combat super fun game exhausting spend hour save currency character wish reward
5.0,4,,positive,notice lot star review decide star think game great getting bore simply break like story world game music unreal casual player appreciate get stuff hard thank make game
5.0,1,,positive,blast play genshin gorgeous graphic entice storyline love aspect game suggest skip dialogue button story memorize point highly recommend game casual hardcore gamer recommend game gam creator like honkai star rail extremely fun entertaining game
