rating,snippet,likes,rating_label,cleaned_snippet,review
4.0,"Amazing game. It's beautiful, the character design is amazing, and there's so much to do. That being said, I have had some recent issues with the game crashing, often when I'm not doing anything I'd think would make it crash. It's crashed when I'm just wandering around, in the middle of dialog, and once right after I had completed a domain, forcing me to redo it. I used the compatibility mode so it would run smoother, but that didn't help with it crashing.",110.0,positive,amazing game its beautiful the character design is amazing and theres so much to do that being said i have had some recent issues with the game crashing often when im not doing anything id think would make it crash its crashed when im just wandering around in the middle of dialog and once right after i had completed a domain forcing me to redo it i used the compatibility mode so it would run smoother but that didnt help with it crashing,
5.0,"Love the game! But a couple issues. One, it takes up sooooo much space on my phone. Two, it is so hard to get any other characters than the storyline ones. It is an amazing game and I would definitely recommend 😁 ❤️ Edit: ok. I'm back. I've gotten so many new characters. My friend taught me how to use the wish system hehe... also I've only gotten to the geo archon quest but fontaine is a beautiful city. I can't wait for the new update. One thing. Mobile is glitchy. I understand why though.",644.0,positive,love the game but a couple issues one it takes up sooooo much space on my phone two it is so hard to get any other characters than the storyline ones it is an amazing game and i would definitely recommend edit ok im back ive gotten so many new characters my friend taught me how to use the wish system hehe also ive only gotten to the geo archon quest but fontaine is a beautiful city i cant wait for the new update one thing mobile is glitchy i understand why though,
5.0,"Initially, I had a 5-star review. I can no longer keep that review anymore in good faith. I love the art style of the game, the music is amazing, and the world itself is very beautiful. A few months ago, I finished the main story. When this new patch update dropped, the main story was finished really quickly, same with the character story quest. This game just seems to have gotten stagnet. Things we have been asking for have been put into HSR instead. Personally it's annoying. Show us some love",665.0,positive,initially i had a star review i can no longer keep that review anymore in good faith i love the art style of the game the music is amazing and the world itself is very beautiful a few months ago i finished the main story when this new patch update dropped the main story was finished really quickly same with the character story quest this game just seems to have gotten stagnet things we have been asking for have been put into hsr instead personally its annoying show us some love,
5.0,"It's one of the few mobile phone games I play, I just started playing, and honestly, it's the most fun I've had in a game for a long time. I'm glad I got it. It also supports external storage on devices that allow for external memory sticks to be inserted into them. Thr game has an ""optimized"" feature in the graphics section of the games Options Menu. It'll analyze your device and automatically adjust the game to run as smoothly as possible for said device. It's very nice!",432.0,positive,its one of the few mobile phone games i play i just started playing and honestly its the most fun ive had in a game for a long time im glad i got it it also supports external storage on devices that allow for external memory sticks to be inserted into them thr game has an optimized feature in the graphics section of the games options menu itll analyze your device and automatically adjust the game to run as smoothly as possible for said device its very nice,
3.0,"Been playing since Sep 2020. The game is beautiful. I love the different nations, character designs, the undtrack is top-tier, and I really enjoy the world exploration, puzzles, and battle. It was difficult for me to leave such review, but the current state of the game has left me pretty much disappointed and frustrated. Late-game content is dull, monotonous and tedious, and the so-called ""rewards"" are insulting, measly, and just plain stingy, even for a gatcha game. Please do better. 💔",212.0,positive,been playing since sep the game is beautiful i love the different nations character designs the undtrack is toptier and i really enjoy the world exploration puzzles and battle it was difficult for me to leave such review but the current state of the game has left me pretty much disappointed and frustrated lategame content is dull monotonous and tedious and the socalled rewards are insulting measly and just plain stingy even for a gatcha game please do better,
5.0,"This is an awesome game! The main story and side quests are extremely well-written and immersive, all the countries are well designed and have many enjoyable puzzles to unlock various rewards, and the elemental fighting system is really unique and fun. With a few exceptions, all the characters are beautifully designed, and it's fairly easy to get enough resources to obtain them. I highly recommend this!",412.0,positive,this is an awesome game the main story and side quests are extremely wellwritten and immersive all the countries are well designed and have many enjoyable puzzles to unlock various rewards and the elemental fighting system is really unique and fun with a few exceptions all the characters are beautifully designed and its fairly easy to get enough resources to obtain them i highly recommend this,
5.0,"There is so much to do in this game as long as you do certain quest, its like a rollercoaster with high, lots of quest to lows. The harder it gets, the higher level you get. Definitely can cost money if you want to wish for more characters or special weapons or purchase special items. However, it uses a lot of memory. If it gets sluggish, then you don't have enough memory! Also, later on, if you don't build your characters correctly, you will have a difficult time, repetitive farming battles.",337.0,positive,there is so much to do in this game as long as you do certain quest its like a rollercoaster with high lots of quest to lows the harder it gets the higher level you get definitely can cost money if you want to wish for more characters or special weapons or purchase special items however it uses a lot of memory if it gets sluggish then you dont have enough memory also later on if you dont build your characters correctly you will have a difficult time repetitive farming battles,
5.0,"I've played this game for about 3 or 4 years, only a little after its release, and it's been pretty fun, I like some aspects of the game, like the lore, gameplay, characters, but overtime I feel like the events and story have been getting boring or repetitive. Especially recently, I've also been getting disappointed with new character designs, like Emilie, The Natlan characters, Sethos.. they just don't feel as special to me as the older ones do. Then again end game experience isn't that great",1301.0,positive,ive played this game for about or years only a little after its release and its been pretty fun i like some aspects of the game like the lore gameplay characters but overtime i feel like the events and story have been getting boring or repetitive especially recently ive also been getting disappointed with new character designs like emilie the natlan characters sethos they just dont feel as special to me as the older ones do then again end game experience isnt that great,
3.0,"I feel like this game would be a lot more fun, if it didn't use as much as it did. It eats up my battery, my storage, my wifi, and so much more, when it doesn't even load a lot of the time. I understand it's a big game and that it needs a lot of resources to function, but doing all of that and still crashing every single time is ridiculous. Any time I actually am able to play it, it's amazing, but I'm seriously thinking about giving up on Genshin.",11.0,positive,i feel like this game would be a lot more fun if it didnt use as much as it did it eats up my battery my storage my wifi and so much more when it doesnt even load a lot of the time i understand its a big game and that it needs a lot of resources to function but doing all of that and still crashing every single time is ridiculous any time i actually am able to play it its amazing but im seriously thinking about giving up on genshin,
4.0,"A lot to do in a massive open world, variety of characters and elemental powers with multiple weapons including mages. Its a long term game. Downside its insanely difficult to get artifacts to equip characters with the stats you are looking for plus in a single run to farm them it has two different types of artifacts instead of one which makes it even harder. You'll spend lot of Resin (energy) to get barely or exactly what you want just to build a single character. Developers should improve this",434.0,positive,a lot to do in a massive open world variety of characters and elemental powers with multiple weapons including mages its a long term game downside its insanely difficult to get artifacts to equip characters with the stats you are looking for plus in a single run to farm them it has two different types of artifacts instead of one which makes it even harder youll spend lot of resin energy to get barely or exactly what you want just to build a single character developers should improve this,
1.0,"I really liked this game. The early game story was fun, and I liked the older characters. But there are a ton of issues that the players continue to bring up that fall on deaf ears. The later game play doesn't even scale up the exp of the random bad guys you run into on the map as your world level increases, so it's much more difficult to level up your characters in later gameplay. Along with random bugs and things, they just refuse to fix. Needles to say, I won't be re-downloading this one.",1282.0,negative,i really liked this game the early game story was fun and i liked the older characters but there are a ton of issues that the players continue to bring up that fall on deaf ears the later game play doesnt even scale up the exp of the random bad guys you run into on the map as your world level increases so its much more difficult to level up your characters in later gameplay along with random bugs and things they just refuse to fix needles to say i wont be redownloading this one,
3.0,"Two stars docked because of personal opinions that most people in the reviews have already addressed (poor recent character designs, slow story). I just wish there was an option that let us pick which commissions we want after we reach the max reputation in a nation (at least). It's so annoying trying to get certain ones that unlock some sort of storyline for an achievement. It would be cool if we could just interact with the commission board ourselves and pick it out.",14.0,positive,two stars docked because of personal opinions that most people in the reviews have already addressed poor recent character designs slow story i just wish there was an option that let us pick which commissions we want after we reach the max reputation in a nation at least its so annoying trying to get certain ones that unlock some sort of storyline for an achievement it would be cool if we could just interact with the commission board ourselves and pick it out,
4.0,"It's a pretty good game, good graphics, cool designs for characters, nice storyline and voice acting. You can freely explore the game but once you get to a high AR it gets quite boring...I would try and make it where you give like a permanent mini game. otherwise it's a great game",0.0,positive,its a pretty good game good graphics cool designs for characters nice storyline and voice acting you can freely explore the game but once you get to a high ar it gets quite boringi would try and make it where you give like a permanent mini game otherwise its a great game,
3.0,"This is a really great game and I do enjoy it a lot whenever I try to come in. I love to explore and accomplish the quests that come with the exploring. However, there are a few things that I noticed recently that has completely changed me thoughts. During the in game experience whenever I try to sign in, it tends to be VERY laggy and it crashed several times. Another thing I do want to point out is the fact that there isnt much fun updates or attention that is put to this game as the others.",256.0,positive,this is a really great game and i do enjoy it a lot whenever i try to come in i love to explore and accomplish the quests that come with the exploring however there are a few things that i noticed recently that has completely changed me thoughts during the in game experience whenever i try to sign in it tends to be very laggy and it crashed several times another thing i do want to point out is the fact that there isnt much fun updates or attention that is put to this game as the others,
5.0,"Genshin Impact is a visually satisfying, beautiful game. Controls are simple and the cross-platform experience is seamless. I can play on my console at home, my laptop when traveling, and pick up where I left off on my phone when I'm on the go, and all without spending a dime if I don't want to! This story is immersive, and always evolving, with new characters and adventures constantly being added. I'm just really impressed with every aspect of Genshin Impact, and can't recommend it enough!",170.0,positive,genshin impact is a visually satisfying beautiful game controls are simple and the crossplatform experience is seamless i can play on my console at home my laptop when traveling and pick up where i left off on my phone when im on the go and all without spending a dime if i dont want to this story is immersive and always evolving with new characters and adventures constantly being added im just really impressed with every aspect of genshin impact and cant recommend it enough,
4.0,"I love genshin and there Characters and story also exploration is fun , but the resin cap is very annoying as a ftp It makes building a character ten times longer and harder and sice genshin is so big now it makes it even harder to keep up. Also, the storage issues are getting really bad. Even if I delete past data but besides that, genshin is a beautiful game They fixed a lot of issues. yay :> still hate how much storge it is.",115.0,positive,i love genshin and there characters and story also exploration is fun but the resin cap is very annoying as a ftp it makes building a character ten times longer and harder and sice genshin is so big now it makes it even harder to keep up also the storage issues are getting really bad even if i delete past data but besides that genshin is a beautiful game they fixed a lot of issues yay still hate how much storge it is,
2.0,"On a strong mobile android, the fps and lag overlaps everything from even moving or hearing audio. It gets so severe that it's aggravating to deal with while playing every time. It turns completely unplayable. Editing the review because since the newest update 5.0 for Natlan, the game takes 5 minutes to even load a cutscene or walk an inch to somewhere. It even crashes the game entirely at the lowest graphic settings. This wasn't an issue until this update",41.0,negative,on a strong mobile android the fps and lag overlaps everything from even moving or hearing audio it gets so severe that its aggravating to deal with while playing every time it turns completely unplayable editing the review because since the newest update for natlan the game takes minutes to even load a cutscene or walk an inch to somewhere it even crashes the game entirely at the lowest graphic settings this wasnt an issue until this update,
5.0,"You've seen the adds, youtubers sponsoring this, the whole 9 yards. I am here to tell you after a few days of playing that the game is actually pretty good. It definitely fills that need to upgrade and slowly become stronger with equipment and characters. It also doesn't make the mistake of having high level enemies you can't possibly fight near the beginning, a common mistake many games make. It eases you in and slowly introduces more and more game mechanics as it should. For now I am hooked.",1280.0,positive,youve seen the adds youtubers sponsoring this the whole yards i am here to tell you after a few days of playing that the game is actually pretty good it definitely fills that need to upgrade and slowly become stronger with equipment and characters it also doesnt make the mistake of having high level enemies you cant possibly fight near the beginning a common mistake many games make it eases you in and slowly introduces more and more game mechanics as it should for now i am hooked,
1.0,"The gameplay play is great, characters are neat, and the open world exploration is fun. Being forced to sit through more than 60 seconds of dialogue is frustrating because it's not interesting. I'd like to be able to skip all dialogue without having to sit through it. Lastly, making it easier to level up existing characters constellations without using wishes would be great. I have 7 new characters who I won't use because it's too hard to level up my existing characters.",1348.0,negative,the gameplay play is great characters are neat and the open world exploration is fun being forced to sit through more than seconds of dialogue is frustrating because its not interesting id like to be able to skip all dialogue without having to sit through it lastly making it easier to level up existing characters constellations without using wishes would be great i have new characters who i wont use because its too hard to level up my existing characters,
3.0,"Great game in many aspects, terrible in terms of others. So imagine Breath of the wild, but with better graphics, better lore and storyline, arguably better characters. World is very well designed, so are characters. Nothing remotely challenging in the game though other than spiral abyss. After completing the story, the game becomes a rinse and repeat of just doing dailies every day and resin grind. Events are terrible, feel like mini games within a game and barely utilize any of the characters",75.0,positive,great game in many aspects terrible in terms of others so imagine breath of the wild but with better graphics better lore and storyline arguably better characters world is very well designed so are characters nothing remotely challenging in the game though other than spiral abyss after completing the story the game becomes a rinse and repeat of just doing dailies every day and resin grind events are terrible feel like mini games within a game and barely utilize any of the characters,
3.0,"It does have great characters and storyline and what not, but it is becoming more and more a task. Honestly this game needs more permanent features like what windteace even had to offer. That was the most fun I've actually had on this game in a while. The daily grind of stuff and farming, and questing is boring, but have to do it to progress the characters in game. Please Hoyo, give us more permanent friendly competition in game without it being a waiting game for an event to come around.",27.0,positive,it does have great characters and storyline and what not but it is becoming more and more a task honestly this game needs more permanent features like what windteace even had to offer that was the most fun ive actually had on this game in a while the daily grind of stuff and farming and questing is boring but have to do it to progress the characters in game please hoyo give us more permanent friendly competition in game without it being a waiting game for an event to come around,
5.0,"Playing for about a half year, I can assure you it is a good and pretty fun game. It is not the type of game that you can play for a few minutes, but one you gonna spend two hours on without noticing it was this long already. Figuring some things might need a bit of googling, but there's plentiful guides and advice everywhere. There's quite a lot of stories and dialogues, which i sometimes not have mood for, and would appreciate some skip button, but some might enjoy that",94.0,positive,playing for about a half year i can assure you it is a good and pretty fun game it is not the type of game that you can play for a few minutes but one you gonna spend two hours on without noticing it was this long already figuring some things might need a bit of googling but theres plentiful guides and advice everywhere theres quite a lot of stories and dialogues which i sometimes not have mood for and would appreciate some skip button but some might enjoy that,
5.0,"When it started a couple years ago, it felt like a Breath of the Wild clone. Huge world, climbing, gliding, good fast reactive controls, fun combat... I was impressed. All that for free? Then they kept increasing the size of the world, enhancing the UI, adding more story, adding more cool characters, new abilities and reasons to explore... and the story and voice acting is actually good... it started damn good and has only gotten better. Really well done. And free. It's amazing.",82.0,positive,when it started a couple years ago it felt like a breath of the wild clone huge world climbing gliding good fast reactive controls fun combat i was impressed all that for free then they kept increasing the size of the world enhancing the ui adding more story adding more cool characters new abilities and reasons to explore and the story and voice acting is actually good it started damn good and has only gotten better really well done and free its amazing,
5.0,"I absolutely LOVE this game! The graphics, story, exploration, characters, everything! It's so much fun and has a good variety of mechanics to use and find out. It's fun building characters too. My only two problems are one: It would be nice to have a reroll option on artifact sub-stats.. this would make artifact farming MUCH better for me:3 Two: More Primogem rewards. That's the currency used to get weapons and characters and I really wish events and even chests had a bit more rewards for that",167.0,positive,i absolutely love this game the graphics story exploration characters everything its so much fun and has a good variety of mechanics to use and find out its fun building characters too my only two problems are one it would be nice to have a reroll option on artifact substats this would make artifact farming much better for me two more primogem rewards thats the currency used to get weapons and characters and i really wish events and even chests had a bit more rewards for that,
5.0,"Loved playing Genshin on my phone!! Though, as of currently I can't even open up the game to play without it shutting itself down. It doesn't even get to the loading screen, it just shows the hoyoverse screen and immediately shuts down. My phone says theres a bug that won't let me open the game until the developer fixes the bug... I have a samsung Galaxy 23+ with 256 GB I'm pretty sure there isn't anything wrong with my phone as well. I've tried deleting it and redownloading it, doesn't work.",57.0,positive,loved playing genshin on my phone though as of currently i cant even open up the game to play without it shutting itself down it doesnt even get to the loading screen it just shows the hoyoverse screen and immediately shuts down my phone says theres a bug that wont let me open the game until the developer fixes the bug i have a samsung galaxy with gb im pretty sure there isnt anything wrong with my phone as well ive tried deleting it and redownloading it doesnt work,
5.0,"From the story lines, combats, quests, scenery and exploration are truly amazing in their own way. I never gotten bored of playing since there are so many things to do in this game. I noticed that the archon quest in some characters had no voice lines, in which it makes the story quite boring and wishing there are possible ways to actually play with other traveler like events. Overall, It's an amazing game!",264.0,positive,from the story lines combats quests scenery and exploration are truly amazing in their own way i never gotten bored of playing since there are so many things to do in this game i noticed that the archon quest in some characters had no voice lines in which it makes the story quite boring and wishing there are possible ways to actually play with other traveler like events overall its an amazing game,
5.0,"Its a wonderful experience between virtual reality and real life, i love this game because it has awesome gameplays, storylines, characters, and lots more! The best part is you can play it with your friends or make new friends it in. The events are wild like the dendro archons event, i wish to have more events like this too. But the bad part is that some quests are hard for new players like me, one of it made me unable to co-op for months!",49.0,positive,its a wonderful experience between virtual reality and real life i love this game because it has awesome gameplays storylines characters and lots more the best part is you can play it with your friends or make new friends it in the events are wild like the dendro archons event i wish to have more events like this too but the bad part is that some quests are hard for new players like me one of it made me unable to coop for months,
5.0,"As a beginner, Genshin Impact is rlly rlly fascinating. It is breath-taking, adventuring and its graphics are rlly smooth. Apart from those advantages, the game takes up a lot of space, it's 31 GB. Besides, there are a lot of theories and items we need to understand properly which is difficult to play. Well, the game's rule is ""knowledge is power"" so makes sense. Overall 5 out of 5 star, no errors nor problems yet. (BONUS: the characters' designs, humors and stories are also striking!)",11.0,positive,as a beginner genshin impact is rlly rlly fascinating it is breathtaking adventuring and its graphics are rlly smooth apart from those advantages the game takes up a lot of space its gb besides there are a lot of theories and items we need to understand properly which is difficult to play well the games rule is knowledge is power so makes sense overall out of star no errors nor problems yet bonus the characters designs humors and stories are also striking,
5.0,"I love this game. Quests are very interesting and there are lot of interesting caracters but there are few issues. Firstly, it takes a lot of space. Secondly, it takes lot of time in loading. Also, recently, in the dialogues caracters are muted, exept for Paimon and please solve this issue. It would be also nice to give us more rewards like in 'Honkai: star rail'. But I really recomend this game because once you start playing the game, you'll never going to quit it.",115.0,positive,i love this game quests are very interesting and there are lot of interesting caracters but there are few issues firstly it takes a lot of space secondly it takes lot of time in loading also recently in the dialogues caracters are muted exept for paimon and please solve this issue it would be also nice to give us more rewards like in honkai star rail but i really recomend this game because once you start playing the game youll never going to quit it,
3.0,"The game used to be beautiful. Now, the devs have lowered the draw distance so that when ever you explore you just see low resolution polygons and place holders until you're right beside an object. Buildings look like toy blocks and Mountains look like they belong in a PS2 game. The grass, trees and rocks pop in as you move around the map. It's just so disappointing compared to how it used to be. Playing since Version 2.0 on Galaxy S23 Ultra and PS5.",5.0,positive,the game used to be beautiful now the devs have lowered the draw distance so that when ever you explore you just see low resolution polygons and place holders until youre right beside an object buildings look like toy blocks and mountains look like they belong in a ps game the grass trees and rocks pop in as you move around the map its just so disappointing compared to how it used to be playing since version on galaxy s ultra and ps,
5.0,"I love this game, especially for the experience when exploring new territories and it meets my expectations as a player, such as when climbing, and the expectation that there is always something above, even though there are no treasure chests, teleportation or anything else, it still feels satisfying because of the beautiful scenery design+BGM. The patterns in this game feel consistent. The downside is that there are some side quest bugs that make the action button on the character disappear.",78.0,positive,i love this game especially for the experience when exploring new territories and it meets my expectations as a player such as when climbing and the expectation that there is always something above even though there are no treasure chests teleportation or anything else it still feels satisfying because of the beautiful scenery designbgm the patterns in this game feel consistent the downside is that there are some side quest bugs that make the action button on the character disappear,
4.0,"I really like genshin impact, and the storyline is amazing. I love the character designs and the different play styles. I would've rated it five stars, but unfortunately, lots of the characters are mute and the silence feels so loud. The quests without the voices of the characters just don't feel right. Please get the eng voice actors back!",97.0,positive,i really like genshin impact and the storyline is amazing i love the character designs and the different play styles i wouldve rated it five stars but unfortunately lots of the characters are mute and the silence feels so loud the quests without the voices of the characters just dont feel right please get the eng voice actors back,
1.0,"The game randomly decides to ""turn off"" my data during gameplay. Not sure how to explain it but during playtime, my data connection suddenly claims no service pulling me out of the game, after it did and i go to my home screen the signal is back? This only happens whenever i open this game. I live in a place where data signal is very strong so i don't how that was possible. WiFi is fine but the data one is the problem.",13.0,negative,the game randomly decides to turn off my data during gameplay not sure how to explain it but during playtime my data connection suddenly claims no service pulling me out of the game after it did and i go to my home screen the signal is back this only happens whenever i open this game i live in a place where data signal is very strong so i dont how that was possible wifi is fine but the data one is the problem,
5.0,"This game has big flaws such as how long it takes for characters pr weapons to rerun, the resin respawn rate and having more 5* characters than 4*. But aside from that, this game has an amazing storyline, enjoyable characters and so many different stories through the quests and events, incredible music, super fun gameplay mechanics, world building and an astonishing scenery. But overall you can tell how much effort, love and passion they put into it. It's a experience and a real journey, enjoy",83.0,positive,this game has big flaws such as how long it takes for characters pr weapons to rerun the resin respawn rate and having more characters than but aside from that this game has an amazing storyline enjoyable characters and so many different stories through the quests and events incredible music super fun gameplay mechanics world building and an astonishing scenery but overall you can tell how much effort love and passion they put into it its a experience and a real journey enjoy,
4.0,This game has great story and lots of quests to do. How ever the end game content is hard to play on my phone i don't know if it's just mine but the character icons r small so it makes it hard to press and if i get hit by an enemy it joystick reset so i had to move my thumb up and down it can tell my thumb is there. After playing for 4 years Pros:great story and quests Cons:end game is hard to play when the icons r smalls and the joystick can't if my thumb on it,19.0,positive,this game has great story and lots of quests to do how ever the end game content is hard to play on my phone i dont know if its just mine but the character icons r small so it makes it hard to press and if i get hit by an enemy it joystick reset so i had to move my thumb up and down it can tell my thumb is there after playing for years prosgreat story and quests consend game is hard to play when the icons r smalls and the joystick cant if my thumb on it,
3.0,"Overall fun game. Good story arcs, good character and world design, interesting combat system with elemental reactions. You could easy spend months theory crafting team compositions with the skills and battle system. I would rate it higher but they dont provide all game features to Android. Certain options like controller support are available on ios but not on android.",10.0,positive,overall fun game good story arcs good character and world design interesting combat system with elemental reactions you could easy spend months theory crafting team compositions with the skills and battle system i would rate it higher but they dont provide all game features to android certain options like controller support are available on ios but not on android,
3.0,"This game is amazing. But the fact that so many characters do not even have a voice like Kinich just ruins the gaming experience. It does not feel like I'm completing an Archon Quest. And alot of the dialogues are beginning to seem weird. Please do not ruin the game like this, the lore is something I love about genshin.",3.0,positive,this game is amazing but the fact that so many characters do not even have a voice like kinich just ruins the gaming experience it does not feel like im completing an archon quest and alot of the dialogues are beginning to seem weird please do not ruin the game like this the lore is something i love about genshin,
4.0,"The game overall is fine. It just sucks that we can't really skip any dialogues, and we just have to sit through them. The storage it takes is also ridiculous but kind of understandable. However, we have to just wait until version 4.4 comes out. Usually, this would be fun, but the recent banner ends about 8 hours before the new banner comes out. The 3/3 limit sucks and doesn't make sense. The same goes for different ascension materials coming on different days. Also, better rewards, please.",89.0,positive,the game overall is fine it just sucks that we cant really skip any dialogues and we just have to sit through them the storage it takes is also ridiculous but kind of understandable however we have to just wait until version comes out usually this would be fun but the recent banner ends about hours before the new banner comes out the limit sucks and doesnt make sense the same goes for different ascension materials coming on different days also better rewards please,
2.0,"For someone's first gacha game it isn't bad but after playing it for over 4 years on phone and pc there are very glaring issues. 1. It takes too much space, both on the pc and phone. 2. The early game content is pretty good but it falls off drastically after a few months. It gets repetitive quickly. 3. A lot of fetch quests. 4. The game treats you like you are 5 during the story. Constantly repeating dialogue as if you weren't there. 5. Paimon gets a lot worse over time, never lets us think.",31.0,negative,for someones first gacha game it isnt bad but after playing it for over years on phone and pc there are very glaring issues it takes too much space both on the pc and phone the early game content is pretty good but it falls off drastically after a few months it gets repetitive quickly a lot of fetch quests the game treats you like you are during the story constantly repeating dialogue as if you werent there paimon gets a lot worse over time never lets us think,
